Hierarchy Name,Asset Family Name,Error Message
"cpl",	cpl_ALT-PTKRMC-A,	Some of the file codes already exist in Asset Family: cpl_PTKRMC-A. FileCodes: EQ-103340934
"cpl",	cpl_ALT-LH-RBS5G3,	Some of the file codes already exist in Asset Family: cpl_ALT-CPS-LH-RBS-G3-5. FileCodes: EQ-104395404
"cpl",	cpl_ALT-LH-RBS7G3,	Some of the file codes already exist in Asset Family: cpl_ALT-CPS-LH-RBS-G3-5. FileCodes: EQ-104470166
"cpl",	cpl_ALT-LH-RBS9G3,	Some of the file codes already exist in Asset Family: cpl_ALT-CPS-LH-RBS-G3-5. FileCodes: EQ-104452533
"cpl",	cpl_ALT-PK-RET-QMAX-56,	Some of the file codes already exist in Asset Family: EQ-100790497 MTINSPECTQA Clone. FileCodes: EQ-100790497
"cpl",	cpl_ALT-CP-INST-LSKIT,	Some of the file codes already exist in Asset Family: cpl_CP-INST-LSKIT. FileCodes: EQ-101570970
"cpl",	cpl_ALT-LH-SSM,	Some of the file codes already exist in Asset Family: E2E with Content Asset Type List. FileCodes: EQ-SSM57501P0312
"cpl",	cpl_ALT-LH-RSJ,	Some of the file codes already exist in Asset Family: E2E with Content Asset Type List. FileCodes: EQ-80011535
"cpl",	cpl_ALT-PSPI-CM,	Some of the file codes already exist in Asset Family: cpl_PSPI-CM. FileCodes: EQ-101453278
"cpl",	cpl_ALT-LH-7XT,	Some of the file codes already exist in Asset Family: E2E with Content Asset Type List. FileCodes: EQ-80038468
"cpl",	cpl_ALT-LH-9RDA,	Some of the file codes already exist in Asset Family: E2E with Content Asset Type List. FileCodes: EQ-80010712
"cpl",	cpl_ALT-PSPI-CL,	Some of the file codes already exist in Asset Family: cpl_PSPI-CL. FileCodes: EQ-101459863
"cpl",	cpl_ALT-LH-CSCR,	Some of the file codes already exist in Asset Family: E2E with Content Asset Type List. FileCodes: EQ-19247
"cpl",	cpl_MSU,	Some of the file codes already exist in Asset Family: E2E with Content Asset Type List. FileCodes: EQ-101400223
"cpl",	cpl_ALT-LH-7RCB,	Some of the file codes already exist in Asset Family: E2E with Content Asset Type List. FileCodes: EQ-80034732
"cpl",	cpl_ALT-EC_RTLS_HT,	Some of the file codes already exist in Asset Family: cpl_EC_RTLS-HT. FileCodes: EQ-90006-F01-00001
"cpl",	cpl_IV-SKF-37,	Some of the file codes already exist in Asset Family: E2E with Content Asset Type List. FileCodes: EQ-100002878
"cpl",	cpl_ALT-RMC-INSUL,	Some of the file codes already exist in Asset Family: cpl_RMC-INSUL. FileCodes: EQ-103340758
"cpl",	cpl_ALT-LH-RT-7RRT,	Some of the file codes already exist in Asset Family: EQ-80010677-QAINSPECT. FileCodes: EQ-80010677
"cpl",	cpl_ALT-LH-RT-7RRT,	Some of the file codes already exist in Asset Family: E2E with Content Asset Type List. FileCodes: EQ-80010677
"cpl",	cpl_COL,	Some of the file codes already exist in Asset Family: E2E with Content Asset Type List. FileCodes: EQ-M805707
"cpl",	cpl_ALT-LH-5JB,	Some of the file codes already exist in Asset Family: E2E with Content Asset Type List. FileCodes: EQ-71001260
"cpl",	cpl_ALT-CPL-FIV-STLEG-22,	Some of the file codes already exist in Asset Family: NewEpicAsset. FileCodes: EQ-103606016
"cpl",	cpl_ALT-LH-RT-7RRT,	Some of the file codes already exist in Asset Family: EQ-80010677-MTINSPECTQA. FileCodes: EQ-80010677
